,rating,sentiment,review,rating std,sentiment std,mae,spearman,sympathy,unsympathy,count
1,10.0,0.08113601803779602,저게우리였으면  아무한테도연락안와서 밥만먹고끝났을듯 ㅜ ㅜ ,3.0397368307141326,0.205838925018615,5.183271461725235,0.3206367032459727,13501.0,483.0,1.0
3,8.0,0.26170384883880615,다른 의미로 공포 영화. ,1.2702454384103394,0.22847946999462354,2.6614103158818017,0.11547673518315335,7492.0,333.0,3.0
4,10.0,0.7704607844352722,사람의 본심은 월식과 같아서 언젠가 드러나는 법 ,2.6505679021827815,0.2776837872862178,3.008474358490535,0.7555359493992134,7195.0,408.0,4.0
5,10.0,0.6864855885505676,서로를 잘 모르기에 함께 살 수 있는 우리들 ,1.4136477637657834,0.2885223649187506,3.619850274324417,0.27512828850254983,6106.0,222.0,5.0
6,10.0,0.9088000059127808,올해  최고의 블랙코미디. 유해진의 연기는 믿고 봅니다. ,3.1685959035509716,0.2537251310487004,2.481837159395218,0.272474630456533,5104.0,317.0,6.0
7,10.0,0.3754574954509735,윤경호라는 배우의 대발견.. 큰 배우들사에서도 전혀 꿀리는거없이 존재감 제대로 사네 ,3.3153786416019035,0.2686957204381313,4.292548889463598,0.5781216125786003,4441.0,265.0,7.0
8,10.0,0.05979248881340027,요즘 망해가는 한국영화들중에 젤만족스러웠다 막장같은 스토리임에도 깔끔한연출과 배우들의 미친 연기력땜에 쫄리면서도 계속웃겨서쉴틈을 안줌 ㅋㅋㅋ ,2.3923943647491677,0.2803404028967777,4.234831547252531,0.2735729822884676,3963.0,269.0,8.0
9,10.0,0.7356474995613098,35라고 생각했지 57은 정말 생각도 못 했다. ,3.0087321475668896,0.22072098453042738,3.2992415494389005,0.4614786136008413,3549.0,249.0,9.0
10,10.0,0.7014309167861938,간만에 극장에서 다 같이 웃는 경험 한거 같아요 ㅋㅋㅋㅋ 웃음 포인트도 많고 소름돋는 포인트도 있어서 재밌었어요 ㅋㅋㅋ 핸드폰이 누구나 쓰는 물건이라서 더 공감가는 것 같습니당 추천해요 ,0.4193605805828842,0.2240695741876903,1.3935223896548432,0.1438487250149603,3378.0,317.0,10.0
13,8.0,0.43937942385673523,캐릭터 중 이서진캐릭터가 제일쓰레김 ,1.5490835561536305,0.23208332078260108,3.0562620092005957,0.17535874450909525,2911.0,112.0,13.0
14,10.0,0.3073912262916565,제작비 수십억씩 때려박은 영화들 뺨때리네. 혼자 기대없이 보러갔다가 시간 아깝지않게 봤습니다. ,3.326015912853092,0.2984342729978453,4.013057001259016,0.4392904840172669,2951.0,175.0,14.0
16,8.0,0.9165952205657959,재밌는데 끝나고 나면 기분나쁜 영화.. ,0.9428090415820634,0.01947460931744817,0.9456672668457031,0.0,2672.0,164.0,16.0
17,10.0,0.8250372409820557,"명배우들 대사 핑퐁이 그렇게 신나고 재밌는 줄 몰랐다.역시 프로들은 다른가보다, 마치 올림픽 탁구 경기를 보는 느낌이였다. ",2.448518686355411,0.22840594910642018,3.082832015793899,0.058099346512583395,2595.0,211.0,17.0
